cid,cas,name,group,Volume,Volume publication year,Evaluation year,Additional information
9703,366-70-1,Procarbazine hydrochloride,2A,"26, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,3688-53-7,AF-2 [2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],2B,"31, Sup 7",1987,1987.0,
19427,3697-24-3,5-Methylchrysene,2B,"Sup 7, 92",2010,2005.0,
,37319-17-8,Pentosan polysulfate sodium,2B,108,2016,2013.0,
2724065,3761-53-3,Ponceau MX,2B,"8, Sup 7",1987,1987.0,
,37620-20-5,N'-Nitrosoanabasine (NAB),3,"37, Sup 7, 89",2007,2004.0,
19592,3771-19-5,Nafenopin,2B,"24, Sup 7",1987,1987.0,
3690,3778-73-2,Isophosphamide,3,"26, Sup 7",1987,1987.0,
,3795-88-8,5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)­amino]-2-oxazolidinone,2B,"7, Sup 7",1987,1987.0,
19700,3844-45-9,"Brilliant Blue FCF, disodium salt",3,"16, Sup 7",1987,1987.0,
62896,38571-73-2,"1,2,3-Tris(chloromethoxy)propane",3,"15, Sup 7, 71",1999,1998.0,
5585,3902-71-4,"4,5',8-Trimethylpsoralen",3,"40, Sup 7",1987,1987.0,
5546,396-01-0,Triamterene,2B,108,2016,2013.0,
61322,4063-41-6,"4,5'-Dimethylangelicin plus ultraviolet A radiation",3,Sup 7,1987,1987.0,
38668,40762-15-0,Doxefazepam,3,66,1996,1996.0,
9863,409-21-2,Silicon carbide whiskers,2A,111,2017,2014.0,
447466,4170-30-3,Crotonaldehyde,2B,"63, 128",2021 online,2020.0,
9865,420-12-2,Ethylene sulfide,3,"11, Sup 7",1987,1987.0,
39184,42397-64-8,"1,6-Dinitropyrene",2B,"46, 105",2014,2012.0,
39185,42397-65-9,"1,8-Dinitropyrene",2B,"Sup 7, 46, 105",2014,2012.0,
135398738,3/4/4342,Dacarbazine,2B,"26, Sup 7",1987,1987.0,
3016,439-14-5,Diazepam,3,"Sup 7, 66",1996,1996.0,
4173,443-48-1,Metronidazole,2B,"13, Sup 7",1987,1987.0,
2265,446-86-6,Azathioprine,1,"26, Sup 7, 100A",2012,2008.0,
62542,4548-53-2,Ponceau SX,3,"8, Sup 7",1987,1987.0,
20678,4549-40-0,N-Nitrosomethylvinylamine,2B,"17, Sup 7",1987,1987.0,
62547,4657-93-6,5-Aminoacenaphthene,3,"16, Sup 7",1987,1987.0,
20803,4680-78-8,Guinea Green B,3,"16, Sup 7",1987,1987.0,
5281743,480-54-6,Retrorsine,3,"10, Sup 7",1987,1987.0,
5281750,480-81-9,Seneciphylline,3,"10, Sup 7",1987,1987.0,
2355,484-20-8,5-Methoxypsoralen,2A,"40, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
10292,492-17-1,"2,4'-Diphenyldiamine",3,"16, Sup 7",1987,1987.0,
10298,492-80-8,Auramine,2B,"1, Sup 7, 99, 100F",2012,2009.0,
10303,493-52-7,Methyl red,3,"8, Sup 7",1987,1987.0,
,494-03-1,"N,N-Bis(2-chloroethyl)-2-naphthylamine (see Chlornaphazine)",,,,,
10307,494-03-1,Chlornaphazine,1,"4, Sup 7, 100A",2012,2008.0,
62344,494-38-2,Acridine orange,3,"16, Sup 7",1987,1987.0,
712,50-00-0,Formaldehyde,1,"Sup 7, 62, 88, 100F",2012,2009.0,
4763,50-06-6,Phenobarbital,2B,"Sup 7, 79",2001,2000.0,
5746,50-07-7,Mitomycin C,2B,"10, Sup 7",1987,1987.0,
2907,"50-18-0, 6055-19-2",Cyclophosphamide,1,"26, Sup 7, 100A",2012,2008.0,
,50-29-3,"DDT (4,4'-dichlorodiphenyltrichloroethane)",2A,"Sup 7, 53, 113",2018,2015.0,
2336,50-32-8,Benzo[a]pyrene,1,"Sup 7, 92, 100F",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
4781,50-33-9,Phenylbutazone,3,"13, Sup 7",1987,1987.0,
3033832,50-41-9,Clomiphene citrate,3,"21, Sup 7",1987,1987.0,
667490,50-44-2,6-Mercaptopurine,3,"26, Sup 7",1987,1987.0,
5770,50-55-5,Reserpine,3,"24, Sup 7",1987,1987.0,
457193,50-76-0,Actinomycin D,3,"10, Sup 7",1987,1987.0,
3840,501-30-4,Kojic acid,3,79,2001,2000.0,
,505-60-2,Mustard gas (see Sulfur mustard),,,,,
10461,505-60-2,Sulfur mustard,1,"9, Sup 7, 100F",2012,2009.0,
10509,509-14-8,Tetranitromethane,2B,65,1996,1995.0,
16213631,50926-11-9,Indium tin oxide,2B,118,2018 online,2017.0,
60975,51-02-5,Pronetalol hydrochloride,3,"13, Sup 7",1987,1987.0,
5794,51-03-6,Piperonyl butoxide,3,"30, Sup 7",1987,1987.0,
5799,51-18-3,"2,4,6-Tris(1-aziridinyl)-s-triazine",3,"9, Sup 7",1987,1987.0,
3385,51-21-8,5-Fluorouracil,3,"26, Sup 7",1987,1987.0,
657298,51-52-5,Propylthiouracil,2B,"Sup 7, 79",2001,2000.0,
4033,51-75-2,Nitrogen mustard,2A,"9, Sup 7",1987,1987.0,
5641,51-79-6,Ethyl carbamate (Urethane),2A,"7, Sup 7, 96",2010,2007.0,
10522,510-15-6,Chlorobenzilate,3,"30, Sup 7",1987,1987.0,
2179,51264-14-3,Amsacrine,2B,76,2000,1999.0,
10555,513-37-1,1-Chloro-2-methylpropene,2B,63,1995,1995.0,
21209,5131-60-2,4-Chloro-meta-phenylenediamine,3,"27, Sup 7",1987,1987.0,
21223,5141-20-8,Light Green SF,3,"16, Sup 7",1987,1987.0,
2756,51481-61-9,Cimetidine,3,50,1990,1989.0,
21238,2/1/5160,D & C Red No. 9,3,"Sup 7, 57",1993,1992.0,
3347,51630-58-1,Fenvalerate,3,53,1991,1990.0,
54680783,518-75-2,Citrinin,3,"40, Sup 7",1987,1987.0,
5833,52-01-7,Spironolactone,3,"Sup 7, 79",2001,2000.0,
5453,52-24-4,Thiotepa,1,"Sup 7, 50, 100A",2012,2008.0,
5845,52-46-0,Apholate,3,"9, Sup 7",1987,1987.0,
5853,52-68-6,Trichlorfon,3,"30, Sup 7",1987,1987.0,
5280863,520-18-3,Kaempferol,3,"31, Sup 7",1987,1987.0,
135513128,523-44-4,CI Acid Orange 20,3,"8, Sup 7",1987,1987.0,
,523-44-4,Orange I (see CI Acid Orange 20),,,,,
10658,523-50-2,Angelicin plus ultraviolet A radiation,3,"40, Sup 7",1987,1987.0,
40326,52645-53-1,Permethrin,3,53,1991,1990.0,
40585,52918-63-5,Deltamethrin,3,53,1991,1990.0,
5865,53-03-2,Prednisone,3,"26, Sup 7",1987,1987.0,
5889,53-70-3,"Dibenz[a,h]anthracene",2A,"Sup 7, 92",2010,2005.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
4338370,5307-14-2,"1,4-Diamino-2-nitrobenzene",3,"Sup 7, 57",1993,1992.0,
4053,531-76-0,Merphalan,2B,"9, Sup 7",1987,1987.0,
10753,531-82-8,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,2B,"7, Sup 7",1987,1987.0,
10771,532-82-1,Chrysoidine,3,"8, Sup 7",1987,1987.0,
2761171,536-33-4,Ethionamide,3,"13, Sup 7",1987,1987.0,
21480,5385-75-1,"Dibenzo[a,e]fluoranthene",3,"Sup 7, 92",2010,2005.0,
,53973-98-1,"Carrageenan, degraded (Poligeenan)",2B,"31, Sup 7",1987,1987.0,
,53973-98-1,"Poligeenan (see Carrageenan, degraded)",,,,,
2719,54-05-7,Chloroquine,3,"13, Sup 7",1987,1987.0,
,54-31-9,Furosemide (Frusemide),3,50,1990,1989.0,
3767,54-85-3,Isonicotinic acid hydrazide (Isoniazid),3,"4, Sup 7",1987,1987.0,
1322,540-73-8,"1,2-Dimethylhydrazine",2A,"4, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
10943,541-73-1,meta-Dichlorobenzene,3,73,1999,1998.0,
10958,542-56-3,Isobutyl nitrite,2B,122,2019,2018.0,
,542-75-6,"1,3-Dichloropropene (technical-grade)",2B,"41, Sup 7, 71",1999,1998.0,
10964,542-78-9,Malonaldehyde,3,"36, Sup 7, 71",1999,1998.0,
,"542-88-1, 107-30-2",Bis(chloromethyl)ether; chloromethyl methyl ether (technical-grade),1,"4, Sup 7, 100F",2012,2009.0,
5354568,5431-33-4,Glycidyl oleate,3,"11, Sup 7",1987,1987.0,
11011,545-06-2,Trichloroacetonitrile,3,"52, 71",1999,1998.0,
11016,545-55-1,Tris(1-aziridinyl)phosphine oxide,3,"9, Sup 7",1987,1987.0,
,5456-28-0,Ethyl selenac,3,"12, Sup 7",1987,1987.0,
,54749-90-5,Chlorozotocin,2A,50,1990,1989.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,548-62-9,Gentian violet (see also Leucogentian violet),2B,129,2022 online,2021.0,
5921,55-18-5,N-Nitrosodiethylamine,2A,"17, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,55-98-1,"1,4-Butanediol dimethanesulfonate (see Busulfan)",,,,,
2478,55-98-1,Busulfan,1,"4, Sup 7, 100A",2012,2008.0,
,55-98-1,Myleran (see Busulfan),,,,,
62369,551-74-6,Mannomustine dihydrochloride,3,"9, Sup 7",1987,1987.0,
21694,5522-43-0,1-Nitropyrene,2A,"Sup 7, 46, 105",2014,2012.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
9568055,555-84-0,1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,2B,"7, Sup 7",1987,1987.0,
62102,55557-01-2,N-Nitrosoguvacine,3,"Sup 7, 85",2004,2003.0,
62103,55557-02-3,N-Nitrosoguvacoline,3,"Sup 7, 85",2004,2003.0,
11164,556-52-5,Glycidol,2A,77,2000,2000.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
542762,5589-96-8,Bromochloroacetic acid,2B,101,2013,2011.0,
667493,56-04-2,Methylthiouracil,2B,"Sup 7, 79",2001,2000.0,
5943,56-23-5,Carbon tetrachloride,2B,"20, Sup 7, 71",1999,1998.0,
5944,56-25-7,Cantharidin,3,"10, Sup 7",1987,1987.0,
991,56-38-2,Parathion,2B,"30, Sup 7, 112",2017,2015.0,
448537,56-53-1,Diethylstilbestrol,1,"21, Sup 7, 100A",2012,2008.0,
5954,56-55-3,Benz[a]anthracene,2B,"92, Sup 7",2010,2005.0,
5959,56-75-7,Chloramphenicol,2A,"Sup 7, 50",1990,1989.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
11224,562-10-7,Doxylamine succinate,3,79,2001,2000.0,
11236,563-41-7,Semicarbazide hydrochloride,3,"12, Sup 7",1987,1987.0,
,563-47-3,"3-Chloro-2-methylpropene, technical grade",2B,"63, 115",2018,2016.0,
62123,56894-91-8,"1,4-Bis(chloromethoxymethyl)benzene",3,"15, Sup 7, 71",1999,1998.0,
11292,569-61-9,CI Basic Red 9,2B,"57, 99",2010,2008.0,
,"569-64-2, 14426-28-9, 2437-29-8",Malachite green (see also Leucomalachite green),3,129,2022 online,2021.0,
5971,57-06-7,Allyl isothiocyanate,3,"73, Sup 7",1999,1998.0,
5976,57-14-7,"1,1-Dimethylhydrazine",2B,"4, Sup 7, 71",1999,1998.0,
60976,57-39-6,Tris(2-methyl-1-aziridinyl)phosphine oxide,3,"9, Sup 7",1987,1987.0,
1775,57-41-0,Phenytoin,2B,"Sup 7, 66",1996,1996.0,
2365,57-57-8,beta-Propiolactone,2B,"4, Sup 7, 71",1999,1998.0,
5327,57-68-1,Sulfamethazine,3,79,2001,2000.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
5993,57-74-9,Chlordane,2B,"Sup 7, 53, 79",2001,2000.0,
5997,57-88-5,Cholesterol,3,"31, Sup 7",1987,1987.0,
92629,57018-52-7,1-tert-Butoxypropan-2-ol,2B,"88, 119",2019,2017.0,
42128,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",1,100F,2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
,57465-28-8,"3,3’,4,4’,5-Pentachlorobiphenyl (PCB-126)",1,100F,2012,2009.0,"See Polychlorinated biphenyls, dioxin-like, with a TEF according to WHO"
62134,57835-92-4,4-Nitropyrene,2B,"46, 105",2014,2012.0,
2519,58-08-2,Caffeine,3,51,1991,1990.0,
4993,58-14-0,Pyrimethamine,3,"13, Sup 7",1987,1987.0,
2153,58-55-9,Theophylline,3,51,1991,1990.0,
,58-89-9,Lindane (see also Hexachlorocyclohexanes),1,113,2018,2015.0,
3639,58-93-5,Hydrochlorothiazide,2B,"50, 108",2016,2013.0,
11392,581-89-5,2-Nitronaphthalene,3,46,1989,1988.0,
126941,59-05-2,Methotrexate,3,"26, Sup 7",1987,1987.0,
,59-87-0,Nitrofural (Nitrofurazone),3,50,1990,1989.0,
6046,59-89-2,N-Nitrosomorpholine,2B,"17, Sup 7",1987,1987.0,
5363199,592-62-1,Methylazoxymethanol acetate,2B,"10, Sup 7",1987,1987.0,
135398513,59277-89-3,Aciclovir,3,76,2000,1999.0,
11641,593-60-2,Vinyl bromide,2A,"39, Sup 7, 71, 97",2008,2007.0,"NB (1) Overall evaluation upgraded to Group 2A based on mechanistic and other relevant data; (2) For practical purposes, vinyl bromide should be considered to act similarly to the human carcinogen vinyl chloride"
11643,593-70-4,Chlorofluoromethane,3,"41, Sup 7, 71",1999,1998.0,
,59536-65-1,Polybrominated biphenyls,2A,"41, Sup 7, 107",2016,2013.0,"NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data, namely mechanistic similarity with polychlorinated biphenyls classified in Group 1"
11722,598-55-0,Methyl carbamate,3,"12, Sup 7",1987,1987.0,
62158,59820-43-8,HC Yellow No. 4,3,57,1993,1992.0,
,"59865-13-3, 79217-60-0",Ciclosporin (see Cyclosporine),,,,,
5284373,"59865-13-3, 79217-60-0",Cyclosporine,1,"50, 100A",2012,2008.0,
440917,5989-27-5,d-Limonene,3,"56, 73",1999,1998.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
5339,599-79-1,Sulfasalazine,2B,108,2016,2013.0,
6051,60-09-3,para-Aminoazobenzene,2B,"8, Sup 7",1987,1987.0,
6053,60-11-7,para-Dimethylaminoazobenzene,2B,"8, Sup 7",1987,1987.0,
178,60-35-5,Acetamide,2B,"7, Sup 7, 71",1999,1998.0,
1349907,60-56-0,Methimazole,3,79,2001,2000.0,
,60-57-1,"Dieldrin (see Dieldrin, and aldrin metabolized to dieldrin)",,,,,
,"60-57-1, 309-00-2","Dieldrin, and aldrin metabolized to dieldrin",2A,"5, Sup 7, 117",2019,2016.0,
5281741,60102-37-6,Petasitenine,3,"31, Sup 7",1987,1987.0,
62163,60153-49-3,3-(N-Nitrosomethylamino)propionitrile,2B,"Sup 7, 85",2004,2003.0,
11767,602-60-8,9-Nitroanthracene,3,"33, Sup 7",1987,1987.0,
11769,602-87-9,5-Nitroacenaphthene,2B,"16, Sup 7",1987,1987.0,
,603-48-5,Leucogentian violet (see also Gentian violet),3,129,2022 online,2021.0,
4616,604-75-1,Oxazepam,2B,"Sup 7, 66",1996,1996.0,
11813,606-20-2,"2,6-Dinitrotoluene",2B,65,1996,1995.0,
11831,607-57-8,2-Nitrofluorene,2B,"46, 105",2014,2012.0,
11860,609-20-1,"2,6-Dichloro-para-phenylenediamine",3,"39, Sup 7",1987,1987.0,
6093,61-57-4,Niridazole,2B,"13, Sup 7",1987,1987.0,
1639,61-82-5,Amitrole,3,"79, Sup 7",2001,2000.0,NB Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
11899,611-06-3,"2,4-Dichloro-1-nitrobenzene",2B,123,2020 online,2018.0,
11942,613-35-4,"N,N'-Diacetylbenzidine",2B,"16, Sup 7",1987,1987.0,
11976,615-05-4,"2,4-Diaminoanisole",2B,"Sup 7, 79",2001,2000.0,
,615-28-1,ortho-Phenylenediamine dihydrochloride,2B,123,2020 online,2018.0,
12001,615-53-2,N-Methyl-N-nitrosourethane,2B,"4, Sup 7",1987,1987.0,
22544,6164-98-3,Chlordimeform,3,"30, Sup 7",1987,1987.0,
12067,618-85-9,"3,5-Dinitrotoluene",3,65,1996,1995.0,
4754,62-44-2,Phenacetin,1,"24, Sup 7, 100A",2012,2008.0,NB Overall evaluation upgraded to Group 1 with supporting evidence from other relevant data
6113,62-50-0,Ethyl methanesulfonate,2B,"7, Sup 7",1987,1987.0,
,62-53-3,Aniline (see also Aniline hydrochloride),2A,"27, Sup 7, 127",2021 online,2020.0,
2723949,62-55-5,Thioacetamide,2B,"7, Sup 7",1987,1987.0,
2723790,62-56-6,Thiourea,3,"Sup 7, 79",2001,2000.0,
3039,62-73-7,Dichlorvos,2B,"Sup 7, 53",1991,1990.0,
6124,62-75-9,N-Nitrosodimethylamine,2A,"17, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
12130,621-64-7,N-Nitrosodi-n-propylamine,2B,"17, Sup 7",1987,1987.0,
,62450-06-0,"Trp-P-1 (3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole)",2B,"31, Sup 7",1987,1987.0,
,62450-07-1,"Trp-P-2 (3-Amino-1-methyl-5H-pyrido[4,3-b]indole)",2B,"31, Sup 7",1987,1987.0,
12306,627-12-3,n-Propyl carbamate,3,"12, Sup 7",1987,1987.0,
6129,63-25-2,Carbaryl,3,"12, Sup 7",1987,1987.0,
5284441,63-92-3,Phenoxybenzamine hydrochloride,2B,"24, Sup 7",1987,1987.0,
12418,630-20-6,"1,1,1,2-Tetrachloroethane",2B,"41, Sup 7, 71, 106",2014,2012.0,
44374,63041-90-7,6-Nitrobenzo[a]pyrene,3,"Sup 7, 46",1989,1988.0,
12433,631-64-1,Dibromoacetic acid,2B,101,2013,2011.0,
12447,632-99-5,Magenta,2B,"Sup 7, 57, 99, 100F",2012,2009.0,
22830,6358-53-8,Citrus Red No. 2,2B,"8, Sup 7",1987,1987.0,
61396,6368-72-5,Sudan Red 7B,3,"8, Sup 7",1987,1987.0,
2796,637-07-0,Clofibrate,3,"Sup 7, 66",1996,1996.0,
5284435,6373-74-6,CI Acid Orange 3,3,57,1993,1992.0,
702,64-17-5,Ethanol in alcoholic beverages,1,"96, 100E",2012,2009.0,
6163,64-67-5,Diethyl sulfate,2A,"54, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
160539,641-48-5,"1,2-Dihydroaceanthrylene",3,92,2010,2005.0,
62608,6416-57-5,Sudan Brown RR,3,"8, Sup 7",1987,1987.0,
,64436-13-1,Arsenobetaine and other organic arsenic compounds that are not metabolized in humans,3,100C,2012,2009.0,
22960,6459-94-5,CI Acid Red 114,2B,57,1993,1992.0,
,64742-93-4,"Bitumens, occupational exposure to oxidized bitumens and their emissions during roofing",2A,103,2013,2011.0,
4212,65271-80-9,Mitoxantrone,2B,76,2000,1999.0,
,65996-93-2,Coal-tar pitch,1,"35, Sup 7, 100F",2012,2009.0,
4156,66-27-3,Methyl methanesulfonate,2A,"7, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
6194,66-75-1,Uracil mustard,2B,"9, Sup 7",1987,1987.0,
61565,66733-21-9,Erionite,1,"42, Sup 7, 100C",2012,2009.0,
6604200,67-20-9,Nitrofurantoin,3,50,1990,1989.0,
5323714,67-45-8,Furazolidone,3,"31, Sup 7",1987,1987.0,
3776,67-63-0,Isopropyl alcohol,3,"15, Sup 7, 71",1999,1998.0,
6212,67-66-3,Chloroform,2B,"Sup 7, 73",1999,1998.0,
6214,67-72-1,Hexachloroethane,2B,73,1999,1998.0,
,67730-10-3,"Glu-P-2 (2-Aminodipyrido[1,2-a:3',2'-d]imidazole)",2B,"40, Sup 7",1987,1987.0,
,67730-11-4,"Glu-P-1 (2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole)",2B,"40, Sup 7",1987,1987.0,
6228,68-12-2,"N,N-Dimethylformamide",2A,"47, 71, 115",2018,2016.0,
,68-76-8,Tris(aziridinyl)-para-benzoquinone (Triaziquone),3,"9, Sup 7",1987,1987.0,
12679,680-31-9,Hexamethylphosphoramide,2B,"15, Sup 7, 71",1999,1998.0,
,68006-83-7,"MeA-alpha-C (2-Amino-3-methyl-9H-pyrido[2,3-b]indole)",2B,"40, Sup 7",1987,1987.0,
,68308-34-9,Shale oils,1,"35, Sup 7, 100F",2012,2009.0,
12699,684-93-5,N-Methyl-N-nitrosourea,2A,"17, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,68603-42-9,Coconut oil diethanolamine condensate,2B,101,2013,2011.0,
442741,6870-67-3,Jacobine,3,"10, Sup 7",1987,1987.0,
6249,69-53-4,Ampicillin,3,50,1990,1989.0,
12749,693-98-1,2-Methylimidazole,2B,101,2013,2011.0,
135398739,69655-05-6,Didanosine,3,76,2000,1999.0,
,70-25-7,N-Methyl-N´-nitro-N-nitrosoguanidine (MNNG),2A,"4, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
3598,70-30-4,Hexachlorophene,3,"20, Sup 7",1987,1987.0,
197865,7099-43-6,"5,6-Cyclopenteno-1,2-benzanthracene",3,92,2010,2005.0,
241,71-43-2,Benzene,1,"29, Sup 7, 100F, 120",2018,2017.0,
6278,71-55-6,"1,1,1-Trichloroethane",2A,"20, Sup 7, 71, 130",2022 online,2021.0,
6279,71-58-9,Medroxyprogesterone acetate,2B,"21, Sup 7",1987,1998.0,
61205,712-68-5,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",2B,"7, Sup 7",1987,1987.0,
,71267-22-6,N'-Nitrosoanatabine (NAT),3,"37, Sup 7, 89",2007,2004.0,
3048,72-20-8,Endrin,3,"5, Sup 7",1987,1987.0,
4115,72-43-5,Methoxychlor,3,"20, Sup 7",1987,1987.0,
6296,72-57-1,Trypan blue,2B,"8, Sup 7",1987,1987.0,
6099,7220-79-3,Methylene blue,3,108,2016,2013.0,
5329,723-46-6,Sulfamethoxazole,3,"Sup 7, 79",2001,2000.0,
62267,73459-03-7,5-Methylangelicin plus ultraviolet A radiation,3,Sup 7,1987,1987.0,
6323,74-83-9,Methyl bromide,3,"41, Sup 7, 71",1999,1998.0,
6325,74-85-1,Ethylene,3,"Sup 7, 60",1994,1998.0,
6327,74-87-3,Methyl chloride,3,"41, Sup 7, 71",1999,1998.0,
6328,74-88-4,Methyl iodide,3,"41, Sup 7, 71",1999,1998.0,
6332,74-96-4,Bromoethane,3,"52, 71",1999,1998.0,
5352425,7439-92-1,Lead,2B,"23, Sup 7",1987,1987.0,
,7439-97-6,Mercury and inorganic mercury compounds,3,58,1993,1993.0,
,7440-02-0,"Nickel, metallic",2B,"Sup 7, 49",1990,1989.0,
23940,7/5/7440,Plutonium,1,"78, 100D",2012,2009.0,
,7440-29-1,Thorium-232 and its decay products,1,"78, 100D",2012,2009.0,
,7440-38-2,Arsenic and inorganic arsenic compounds,1,"23, Sup 7, 100C",2012,2009.0,
,7440-41-7,Beryllium and beryllium compounds,1,"Sup 7, 58, 100C",2012,2009.0,
,7440-43-9,Cadmium and cadmium compounds,1,"58, 100C",2012,2009.0,
,7440-47-3,"Chromium, metallic",3,"Sup 7, 49",1990,1989.0,
,7440-48-4,Cobalt metal (without tungsten carbide or other metal alloys),2A,"52, 86, 131",2023 online,2022.0,
,"7440-48-4, 12070-12-1",Cobalt metal with tungsten carbide,2A,86,2006,2003.0,
,7440-61-1,"Uranium, mixture of isotopes (see Radionuclides, alpha-particle-emitting, internally deposited)",1,"78, 100D",2012,2009.0,"NB Uranium was listed as a Group 1 agent as a member of the family, Radionuclides, alpha-particle-emitting, internally deposited. There was limited evidence for the carcinogenicity of mixtures of uranium isotopes, with positive associations for lung cancer"
1119,9/5/7446,Sulfur dioxide,3,54,1992,1991.0,
62642,7460-84-6,Glycidyl stearate,3,"11, Sup 7",1987,1987.0,
24066,7481-89-2,Zalcitabine,2B,76,2000,1999.0,
24121,2/8/7496,6-Nitrochrysene,2A,"Sup 7, 46, 105",2014,2012.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
6337,75-00-3,Chloroethane,3,"52, 71",1999,1998.0,
6338,75-01-4,Vinyl chloride,1,"Sup 7, 97, 100F",2012,2009.0,
6339,75-02-5,Vinyl fluoride,2A,"Sup 7, 63, 97",2008,2007.0,"NB (1) Overall evaluation upgraded to Group 2A based on mechanistic and other relevant data; (2) For practical purposes, vinyl fluoride should be considered to act similarly to the human carcinogen vinyl chloride"
177,75-07-0,Acetaldehyde,2B,"36, Sup 7, 71",1999,1998.0,
,75-07-0,Acetaldehyde associated with consumption of alcoholic beverages,1,100E,2012,2009.0,
6344,75-09-2,Dichloromethane (Methylene chloride),2A,"Sup 7, 71, 110",2017,2014.0,
6354,75-21-8,Ethylene oxide,1,"Sup 7, 60, 97, 100F",2012,2009.0,NB Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
5558,75-25-2,Bromoform,3,"52, 71",1999,1998.0,
6358,75-26-3,2-Bromopropane,2A,133,In prep.,2023.0,
6359,75-27-4,Bromodichloromethane,2B,"52, 71",1999,1998.0,
6366,75-35-4,Vinylidene chloride,2B,"39, Sup 7, 71, 119",2019,2017.0,
6369,75-38-7,Vinylidene fluoride,3,"39, Sup 7, 71",1999,1998.0,
6372,75-45-6,Chlorodifluoromethane,3,"41, Sup 7, 71",1999,1998.0,
6375,75-52-5,Nitromethane,2B,77,2000,2000.0,
,75-55-8,2-Methylaziridine (Propyleneimine),2B,"9, Sup 7, 71",1999,1998.0,
6378,75-56-9,Propylene oxide,2B,"Sup 7, 60",1994,1994.0,
2513,75-60-5,Dimethylarsinic acid,2B,100C,2012,2009.0,
6407,75-87-6,Chloral,2A,"63, 84, 106",2014,2012.0,
6408,75-88-7,"2-Chloro-1,1,1-trifluoroethane",3,"41, Sup 7, 71",1999,1998.0,
10419304,7519-36-0,N-Nitrosoproline,3,"17, Sup 7",1987,1987.0,
53230,75321-20-9,"1,3-Dinitropyrene",2B,"46, 105",2014,2012.0,
24227,7572-29-4,Dichloroacetylene,3,"39, Sup 7, 71",1999,1998.0,
12967,759-73-9,N-Ethyl-N-nitrosourea,2A,"17, Sup 7",1987,1987.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
6419,76-01-7,Pentachloroethane,3,"41, Sup 7, 71",1999,1998.0,
6421,76-03-9,Trichloroacetic acid,2B,"63, 84, 106",2014,2012.0,
3589,76-44-8,Heptachlor,2B,"Sup 7, 53, 79",2001,2000.0,
,76180-96-6,"IQ (2-Amino-3-methylimidazo[4,5-f]quinoline)",2A,"Sup 7, 56",1993,1992.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
24261,7631-86-9,"Silica, amorphous",3,"Sup 7, 68",1997,1996.0,
313,7647-01-0,Hydrochloric acid,3,54,1992,1991.0,
13002,765-34-4,Glycidaldehyde,2B,"11, Sup 7, 71",1999,1998.0,
,7664-93-9,Strong-inorganic-acid mists containing sulfuric acid (see Acid mists),,,,,
4764,77-09-8,Phenolphthalein,2B,76,2000,1999.0,
6497,77-78-1,Dimethyl sulfate,2A,"4, Sup 7, 71",1999,1998.0,NB Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
,77094-11-2,"MeIQ (2-Amino-3,4-dimethylimidazo[4,5-f]quinoline)",2B,"Sup 7, 56",1993,1992.0,
784,7722-84-1,Hydrogen peroxide,3,"36, Sup 7, 71",1999,1998.0,
